mois,"indice ""i""","indice ""i2021""","indice ""K1""","indice ""K2""","indice ""M""","indice ""MM""","indice ""s"" - cat A (< 10 p)","indice ""s"" - cat A (de 10 à 19 p)","indice ""s"" - cat A (≥ 20 p)","indice ""s"" - cat B (< 10 p)","indice ""s"" - cat B (de 10 à 19 p)","indice ""s"" - cat B (≥ 20 p)","indice ""s"" - cat C (< 10 p)","indice ""s"" - cat C (de 10 à 19 p)","indice ""s"" - cat C (≥ 20 p)","indice ""s"" - cat D (< 10 p)","indice ""s"" - cat D (de 10 à 19 p)","indice ""s"" - cat D (≥ 20 p)","indice ""s"" - électriciens (< 10 p)","indice ""s"" - électriciens (≥ 10 p)",Indice T0 - asphalteurs,Indice T1 - asphalteurs,Indice T2 - asphalteurs,Indice T3 - asphalteurs,Indice T4 - asphalteurs,Indice T5 - asphalteurs,Usines & Ateliers - CP 111,IPP 23 - Fabrication d’autres produits minéraux non métalliques,IPP 24 - Métallurgie,IPP 161 - Sciage et rabotage du bois,"IPP 162 - Fabrication d’articles en bois, liège, vannerie et sparterie","IPP 203 - Fabrication de peintures, vernis, encres et mastics",IPP 205 - Fabrication d’autres produits chimiques,IPP 222 - Fabrication de produits en plastique,IPP 231 - Fabrication de verre et d’articles en verre,IPP 233 - Fabrication de matériaux de construction en terre cuite,"IPP 235 - Fabrication de ciment, chaux et plâtre","IPP 236 - Fabrication d’ouvrages en béton, en ciment ou en plâtre","IPP 237 - Taille, façonnage et finissage de pierres",IPP 239 - Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.,IPP 241 - Sidérurgie,IPP 243 - Fabrication d’autres produits de première transformation de l’acier,IPP 244 - Production de métaux précieux et d’autres métaux non ferreux,IPP 251 - Fabrication d’éléments en métal pour la construction,"IPP 252 - Fabrication de réservoirs, citernes et conteneurs métalliques","IPP 257 - Fabrication de coutellerie, d’outillage et de quincaillerie",IPP 259 - Fabrication d’autres ouvrages en métaux,IPP 263 - Fabrication d’équipements de communication,"IPP 271 - Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique",IPP 273 - Fabrication de fils et câbles et de matériel d’installation électrique,IPP 274 - Fabrication d’appareils d’éclairage électrique,IPP 282 - Fabrication d’autres machines d’usage général,IPP 310 - Fabrication de meubles,"IPP 081 - Extraction de pierres, de sables et d’argiles",CIMENT (série spécifique - enquête)
01/01/2018,7879,"96,74",3184,3263,"385,34","646,854","31,074","31,954","31,949","31,042","31,922","31,917","30,389","31,269","31,264","29,895","30,775","30,77","25,146","25,41","50,94","60,78","44,18","54,01","194,12","146,67","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2018,7893,"97,67",3172,3263,"383,054","651,178","31,085","31,964","31,96","31,053","31,932","31,928","30,4","31,279","31,275","29,906","30,786","30,781","25,166","25,429","50,74","60,59","43,97","53,8","193,18","145,72","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2018,7802,"97,79",3157,3238,"378,757","656,27","31,085","31,964","31,96","31,053","31,932","31,928","30,4","31,279","31,275","29,906","30,786","30,781","25,166","25,429","50,36","59,95","43,77","53,34","192,18","144,38","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2018,7812,"97,92",3186,3261,"382,391","663,992","30,934","31,816","31,812","30,902","31,784","31,779","30,246","31,128","31,123","29,751","30,633","30,628","25,166","25,429","50,55","60,09",44,"53,51","192,93","145,35","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2018,7909,"98,26",3255,3308,"392,927","663,318","30,934","31,816","31,812","30,902","31,784","31,779","30,246","31,128","31,123","29,751","30,633","30,628","25,166","25,429","51,67","61,68","44,79","54,79","196,71","149,73","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2018,8031,"98,54",3338,3373,"400,205","662,294","30,934","31,816","31,812","30,902","31,784","31,779","30,246","31,128","31,123","29,751","30,633","30,628","25,166","25,429","53,63","64,92","45,86","57,19","202,17","156,81","11,0229",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2018,8011,"98,56",3371,3381,"397,45","660,617","31,095","31,978","31,972","31,062","31,946","31,94","30,403","31,287","31,28","29,905","30,788","30,782","25,164","24,428","54,63","66,59","46,4","58,42","205,15","160,34","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2018,8030,"98,48",3403,3392,"401,624","668,622","31,095","31,978","31,972","31,062","31,946","31,94","30,403","31,287","31,28","29,905","30,788","30,782","25,164","24,428","55,4","67,82","46,85","59,36","207,4","163,18","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2018,8012,"98,74",3426,3403,"403,906","671,492","31,095","31,978","31,972","31,062","31,946","31,94","30,403","31,287","31,28","29,905","30,788","30,782","25,164","24,428","55,81","68,34","47,18","59,81","208,95","164,88","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2018,8107,"99,03",3460,3422,"408,817","673,748","31,226","32,111","32,105","31,193","32,079","32,072","30,531","31,417","31,41","30,03","30,916","30,91","25,164","25,428","56,32","68,93","47,64","60,34","211,24","167,01","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2018,8066,"99,29",3459,3417,"401,915","671,806","31,226","32,111","32,105","31,193","32,079","32,072","30,531","31,417","31,41","30,03","30,916","30,91","25,164","25,428","56,56","69,62","47,57","60,74","211,16","167,5","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2018,8045,"99,36",3390,3375,"394,822","668,107","31,226","32,111","32,105","31,193","32,079","32,072","30,531","31,417","31,41","30,03","30,916","30,91","25,164","25,428","55,72","68,71","46,78","59,87","207,38","163,63","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2019,7920,"99,29",3330,3347,"388,593","664,445","31,347","32,237","32,23","31,316","32,205","32,199","30,65","31,539","31,533","30,156","31,045","31,039","25,675","25,946","54,33","66,36","46,06","58,15","203,87","158,66","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2019,7893,"99,55",3311,3313,"386,779","661,698","31,352","32,241","32,235","31,32","32,21","32,204","30,654","31,544","31,538","30,16","31,05","31,044","25,693","25,964","53,53","64,75","45,81","57,07","202,25","156,02","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2019,7980,"100,1",3371,3342,"393,183","663,393","31,352","32,241","32,235","31,32","32,21","32,204","30,654","31,544","31,538","30,16","31,05","31,044","25,693","25,964","54,87","66,76","46,7","58,64","205,77","160,37","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2019,8016,"100,18",3403,3356,"397,808","661,559","31,539","32,431","32,424","31,507","32,399","32,393","30,837","31,729","31,723","30,34","31,232","31,226","25,693","25,964","55,69","67,92","47,27","59,57","208,67","163,35","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2019,7942,"100,09",3433,3361,"398,885","649,089","31,539","32,431","32,424","31,507","32,399","32,393","30,837","31,729","31,723","30,34","31,232","31,226","25,693","25,964","56,45","69,11","47,73","60,48","210,72","165,96","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2019,7862,"99,83",3406,3339,"392,279","648,337","31,539","32,431","32,424","31,507","32,399","32,393","30,837","31,729","31,723","30,34","31,232","31,226","25,693","25,964","56,39","69,35","47,47","60,53","209,63","165,25","11,1816",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2019,7884,"100,01",3419,3373,"394,912","643,319","31,698","32,595","32,589","31,666","32,557","32,557","30,986","31,883","31,877","30,482","31,379","31,372","25,999","26,272","56,41","69,24","47,58","60,5","210,32","165,46","11,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2019,7791,"99,83",3401,3344,"390,269","635,362","31,698","32,595","32,589","31,666","32,557","32,557","30,986","31,883","31,877","30,482","31,379","31,372","25,999","26,272","56,28","69,07","47,47","60,36","209,73","164,83","11,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,
